date,code,name,family_id,close,fwd_ret_5,is_trainable,vol_20_relative,vol_20,ret_5,vol_60_relative,amplitude,intraday_range,drawdown_20,ret_5_rolling_zscore,drawdown_60,month_cos,vol_5,ret_3,volume_chg_5,volume_chg_5_clipped,ma_gap_20_60,family_CSI_A50,ret_3_rolling_zscore,family_CSI_A500,ret_60_rolling_zscore,vol_60,ret_20,ret_20_rolling_zscore,ret_60,family_CSI_A100,family_CSI_2000,ret_10
2020-06-03,510300,沪深300ETF华泰柏瑞,CSI_300,3.487,0.0177803269285918,True,1.199866165867954,0.0108526754681424,0.0396541443053071,0.9228661502923816,1.261467889908258,0.0126182965299684,-0.0002866972477063,1.4328643327516875,-0.0393939393939393,-1.0,0.0126357576875301,0.0331851851851852,0.5819772179536642,0.5819772179536642,0.0250293566520922,0.0,1.4844831533168639,0.0,-0.814274537327592,0.0156047578437321,0.0175080245112342,-0.6987517382175465,-0.0598544081962792,0.0,0.0,0.0148428405122236
2020-06-03,510310,沪深300ETF易方达,CSI_300,3.284,0.0176613885505481,True,1.178196355518856,0.0104561984741688,0.0366161616161615,0.9481930112757531,1.157125456760043,0.0115712545676004,0.0,1.4446276799542161,-0.0363849765258216,-1.0,0.0125823821626744,0.0340050377833751,-0.0521367684357062,-0.0521367684357062,0.024111069895607,0.0,1.633163183607007,0.0,-0.7253405484083394,0.0152392563064133,0.0167182662538698,-0.7048999502600445,-0.051415366839977,0.0,0.0,0.0160891089108909
2020-06-03,510500,中证500ETF南方,CSI_500,5.038,0.0097260817784834,True,1.0479264798295609,0.0119853712163987,0.0383347073371804,0.9203636749726642,0.9908838684106186,0.0099245732433505,-0.0027711797307995,0.9789282509477564,-0.0305945737925725,-1.0,0.0161011565634282,0.0323770491803279,-0.3214329809683027,-0.3214329809683027,0.0260315414123983,0.0,1.1290081529778524,0.0,-0.3059960389360882,0.0166434892395287,0.026278264412304,-0.4727540250126656,-0.0363427697016066,0.0,0.0,0.0155210643015522
2020-06-03,512100,中证1000ETF南方,CSI_1000,2.078,0.0105871029836381,True,0.9990064872827693,0.0130060785061626,0.0410821643286571,0.8735625932826664,0.9134615384615444,0.0091434071222329,-0.00240038406145,0.9435021743297531,-0.0392972723069809,-1.0,0.0156054379089919,0.0312655086848634,0.0459755124585736,0.0459755124585736,0.0229319124540521,0.0,0.9181597872928692,0.0,-0.5268575653381096,0.0181539551399592,0.04004004004004,0.15781299488226705,-0.0450367647058824,0.0,0.0,0.0201276386843396
2020-06-03,512500,中证500ETF华夏,CSI_500,2.816,0.0078125,True,1.051845004528636,0.0114350288628942,0.0360559234731419,0.9344975314345244,0.9584664536741262,0.0095880681818182,-0.0017724211272599,0.9893924680630047,-0.0293002412961047,-1.0,0.015683132027324,0.0315018315018313,-0.1165618201833759,-0.1165618201833759,0.0248544073870071,0.0,1.1681322039615825,0.0,-0.3364179884315899,0.0159074742599071,0.0251183108846013,-0.4573517393353646,-0.0356164383561644,0.0,0.0,0.0144092219020173
2020-06-04,510300,沪深300ETF华泰柏瑞,CSI_300,3.489,0.0065921467469189,True,1.19092834697857,0.0108307816378958,0.0387019946412623,0.9149185178981384,0.8603383997705707,0.0085984522785897,0.0,1.351804769588368,-0.0273208809590187,-1.0,0.0127576030916131,0.003451251078516,-0.0094648173304687,-0.0094648173304687,0.0267871429714376,0.0,0.019042179398314683,0.0,-0.02297639151668284,0.0153740894903222,0.0201754385964911,-0.49308477349905716,-0.0388429752066116,0.0,0.0,0.0231671554252199
2020-06-04,510310,沪深300ETF易方达,CSI_300,3.284,0.0060901339829475,True,1.1693140186988653,0.0104289683851721,0.0359621451104099,0.9445396149983633,0.8526187576126683,0.0085261875761266,0.0,1.3696985509679178,-0.0232004759071982,-1.0,0.0126686583381643,0.0042813455657491,-0.0783751886334425,-0.0783751886334425,0.0257707358976806,0.0,0.07219605940868616,0.0,-0.10511677335542859,0.0151144543616222,0.0192427063935443,-0.49968904989456664,-0.0363849765258216,0.0,0.0,0.0224159402241592
2020-06-04,510500,中证500ETF南方,CSI_500,5.047,0.0059441252229046,True,1.0536586829181267,0.0119675071554553,0.0431996692848284,0.9260461248913363,0.8535132989281491,0.0085199128194967,-0.0009897070467141,1.1195066728249643,-0.0127151799687011,-1.0,0.0154594269448183,-0.0009897070467141,-0.07936207200967,-0.07936207200967,0.02807335059964,0.0,-0.29631540720116023,0.0,-0.04669003805699714,0.0166304721528753,0.029579763361893,-0.25776619991238914,-0.0288628054646912,0.0,0.0,0.0302102469891814
2020-06-04,512100,中证1000ETF南方,CSI_1000,2.091,0.001434720229555,True,1.0106738930302142,0.013017862127551,0.0507537688442212,0.8827141913132298,0.9143407122232764,0.0090865614538496,0.0,1.2007228180658334,-0.0183098591549294,-1.0,0.0144527630157326,0.0038406144983196,0.9559801253992666,0.9559801253992666,0.0259574827062596,0.0,-0.16577230105289062,0.0,-0.22740049994001493,0.0181613047814994,0.0475951903807616,0.48715941140688934,-0.0332871012482661,0.0,0.0,0.0449775112443779
2020-06-04,512500,中证500ETF华夏,CSI_500,2.818,0.0053229240596168,True,1.0579223719608293,0.0114293094065627,0.0425453200147984,0.9389581337645102,0.8877840909090878,0.0088715400993612,-0.0010634526763559,1.1978718767162928,-0.0112280701754385,-1.0,0.0146317851211379,-0.0010634526763559,-0.2233567068869558,-0.2233567068869558,0.0267185971343297,0.0,-0.29360509878450614,0.0,-0.08043584086635279,0.0158883989009049,0.0262199563000729,-0.3342262833026887,-0.0286108238538433,0.0,0.0,0.0288426433004747
