date,code,name,family_id,close,ret_1,ret_3,ret_5,ret_10,ret_20,ret_60,vol_5,vol_20,vol_60,ma_gap_5_20,ma_gap_20_60,drawdown_20,drawdown_60,amount_log,amount_z20,turnover_rate,amplitude,intraday_range,volume_chg_5,liquidity_shock_20,month_sin,month_cos,days_since_start,family_CSI_1000,family_CSI_2000,family_CSI_300,family_CSI_500,family_CSI_800,family_CSI_A100,family_CSI_A50,family_CSI_A500,fwd_ret_5,is_trainable
2024-07-29,510300,沪深300ETF华泰柏瑞,CSI_300,3.243,-0.006129328838492154,-0.007649938800489586,-0.03482142857142856,-0.021719457013574694,-0.014285714285714346,-0.04251550044286978,0.009054974990642646,0.008091485015852481,0.006818109856081099,-0.009036647783363438,-0.01711706780647748,-0.043080554735910326,-0.06622516556291391,0.0,,,0.5822862396567615,0.005858772741288969,-0.653361842602429,,-0.4999999999999997,-0.8660254037844388,1896,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.014184397163120477,True
2024-07-29,510310,沪深300ETF易方达,CSI_300,3.118,-0.007006369426751702,-0.008269720101781286,-0.03527227722772286,-0.021343377275580666,-0.013915243516761544,-0.04355828220858893,0.009717742794878189,0.008194239808474725,0.006912759837111845,-0.009127949211964248,-0.01735963832362586,-0.042383292383292304,-0.0675837320574163,0.0,,,0.7006369426751528,0.0070558050032071195,-0.6278457425856971,,-0.4999999999999997,-0.8660254037844388,1896,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.014111610006414366,True
2024-07-29,510500,中证500ETF南方,CSI_500,4.623,-0.006447453255963742,0.00850785340314153,-0.033047479606776675,-0.03607172643869894,-0.056915544675642527,-0.12592172433352233,0.01660576166423529,0.012318429344591252,0.01066417186610288,-0.0277204364494249,-0.05520931111914529,-0.04798187808896204,-0.1443642420877289,0.0,,,0.85966043412852,0.008652390222799056,-0.5169555578778146,,-0.4999999999999997,-0.8660254037844388,1896,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0012978585334199044,True
2024-07-29,512100,中证1000ETF南方,CSI_1000,1.823,-0.004912663755458624,0.012777777777777777,-0.03031914893617016,-0.02980308674827037,-0.052002080083203395,-0.14372945044621888,0.01694784324042157,0.014290491669600754,0.013560289242399827,-0.024408581939260543,-0.06536106277606746,-0.04504976427448926,-0.16452795600366632,0.0,,,0.9825327510917039,0.009873834339001655,-0.6568256154707398,,-0.4999999999999997,-0.8660254037844388,1896,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2024-07-29,512500,中证500ETF华夏,CSI_500,2.574,-0.005793742757821629,0.008620689655172376,-0.03123823861497932,-0.03450862715678926,-0.05506607929515428,-0.12240027275826804,0.01585924478448345,0.011957059345727125,0.010219960760169898,-0.026981993069888133,-0.053609614488632884,-0.04631344942571325,-0.14028056112224463,0.0,,,0.849748937813837,0.008547008547008642,0.14934859771318942,,-0.4999999999999997,-0.8660254037844388,1896,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,True
2024-07-30,159531,中证2000ETF南方,CSI_2000,0.758,0.009320905459387463,0.032697547683923744,0.01744966442953011,-0.011734028683181186,-0.04171934260429844,-0.14927048260381592,0.014306315589271966,0.016788432551240434,0.01496490204175637,-0.01709458121576135,-0.06506088530524945,-0.03316326530612246,-0.15496098104793754,0.0,,,1.8641810918774986,0.01846965699208445,-0.17770324784514757,,-0.4999999999999997,-0.8660254037844388,316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014511873350923521,True
2024-07-30,159601,中证A50ETF华夏,CSI_A50,0.724,-0.012278308321964526,-0.014965986394557818,-0.028187919463087296,-0.04986876640419957,-0.03208556149732622,-0.05606258148631038,0.005040289731338426,0.007880594657191034,0.007181117912237879,-0.02081665332265803,-0.0068471970667493,-0.05606258148631038,-0.07060333761232351,0.0,,,1.6371077762619388,0.016574585635359133,1.324859846111834,,-0.4999999999999997,-0.8660254037844388,995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.016574585635359185,True
2024-07-30,159627,中证A100ETF华夏,CSI_A100,0.909,-0.006557377049180357,-0.011956521739130421,-0.022580645161290325,-0.037076271186440635,-0.020474137931034475,-0.06481481481481477,0.004154714601818895,0.007570492104703333,0.005813935175299784,-0.013701574337757205,-0.015256270062436017,-0.050156739811912154,-0.06864754098360648,0.0,,,0.6557377049180333,0.006600660066006606,0.3482553421693264,,-0.4999999999999997,-0.8660254037844388,608,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.00990099009900991,True
2024-07-30,159800,中证800ETF鹏华,CSI_800,0.978,-0.004073319755600768,-0.003058103975535187,-0.014112903225806495,-0.03264094955489605,,,0.0062390021074198165,0.00843391599559149,0.00843391599559149,-0.01682688610320704,0.0,-0.043052837573385516,-0.043052837573385516,0.0,,,0.9164969450101842,0.009202453987730069,-0.37079892013086546,,-0.4999999999999997,-0.8660254037844388,18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.004089979550102263,True
2024-07-30,159845,中证1000ETF华夏,CSI_1000,1.914,0.005252100840336116,0.016463090812533165,0.002619172341540077,-0.025954198473282508,-0.03963873557451092,-0.15008880994671403,0.01114564212641401,0.013676664864230777,0.012661459906338083,-0.021287562496778434,-0.061990829901933164,-0.038674033149171394,-0.15496688741721865,0.0,,,1.9432773109243655,0.019331243469174465,-0.0539197196566763,,-0.4999999999999997,-0.8660254037844388,1217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088819226750263,True
