index_component_type,secucode,stock_code,stock_name,close_price,change_rate,trade_date,industry,region,weight,eps,roe,free_cap,pe,source
7,301511.SZ,301511,德福科技,124.53,-1.960321209258,2026-06-03 00:00:00,电池,九江市,,0.2338,3.54,466.53,133.29,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,688549.SH,688549,中巨芯,14.48,2.476999292286,2026-06-03 00:00:00,电子化学品Ⅱ,衢州市,,0.004,0.21,85.33,838.64,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,603194.SH,603194,中力股份,35.26,0.800457404231,2026-06-03 00:00:00,工程机械,湖州市,,0.45,3.35,55.72,19.41,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,688484.SH,688484,南芯科技,42.0,5.368790767687,2026-06-03 00:00:00,半导体,上海市,,0.01,0.08,179.62,1345.13,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,301626.SZ,301626,苏州天脉,323.01,1.677788970033,2026-06-03 00:00:00,消费电子,苏州市,,0.11,0.78,169.96,749.77,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600158.SH,600158,中体产业,9.88,-5.0,2026-06-03 00:00:00,体育Ⅱ,天津市,,-0.006,-0.24,94.8,-413.41,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002004.SZ,002004,华邦健康,4.55,-0.655021834061,2026-06-03 00:00:00,化学制药,重庆市,,0.0785,1.51,85.69,14.55,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,000156.SZ,000156,华数传媒,6.83,-1.867816091954,2026-06-03 00:00:00,电视广播Ⅱ,杭州市,,0.0608,0.74,116.1,28.09,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600751.SH,600751,海航科技,3.22,-1.226993865031,2026-06-03 00:00:00,航运港口,天津市,,0.0045,0.17,82.86,178.95,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600022.SH,600022,山东钢铁,1.33,-1.481481481481,2026-06-03 00:00:00,普钢,济南市,,-0.0207,-1.15,142.29,-16.32,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600773.SH,600773,西藏城投,15.64,-3.097893432466,2026-06-03 00:00:00,房地产开发,拉萨市,,-0.056,-1.24,148.83,-70.15,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002015.SZ,002015,协鑫能科,24.37,4.592274678112,2026-06-03 00:00:00,电力,无锡市,,0.182,2.41,395.6,34.36,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002011.SZ,002011,盾安环境,11.73,-2.33139050791,2026-06-03 00:00:00,家电零部件Ⅱ,绍兴市,,0.19,2.91,124.29,16.07,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600252.SH,600252,中恒集团,2.23,-0.446428571429,2026-06-03 00:00:00,中药Ⅱ,梧州市,,-0.0105,-0.63,71.01,-52.94,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600552.SH,600552,凯盛科技,18.55,-1.539278131635,2026-06-03 00:00:00,光学光电子,蚌埠市,,0.0296,0.65,175.22,156.91,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600550.SH,600550,保变电气,13.06,-2.098950524738,2026-06-03 00:00:00,电网设备,保定市,,0.032,6.87,240.5,100.94,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,000966.SZ,000966,长源电力,5.42,4.030710172745,2026-06-03 00:00:00,电力,武汉市,,0.0301,0.78,188.67,45.07,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600502.SH,600502,安徽建工,5.14,-2.095238095238,2026-06-03 00:00:00,基础建设,蚌埠市,,0.16,1.7,88.23,6.62,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,002048.SZ,002048,宁波华翔,24.68,-0.963081861958,2026-06-03 00:00:00,汽车零部件,宁波市,,0.34,2.35,175.18,18.4,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600682.SH,600682,南京新百,6.11,-0.97244732577,2026-06-03 00:00:00,综合Ⅱ,南京市,,0.02,0.19,71.12,66.89,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,600409.SH,600409,三友化工,6.34,0.634920634921,2026-06-03 00:00:00,化学原料,唐山市,,-0.0443,-0.66,130.88,-35.75,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,301061.SZ,301061,匠心家居,40.7,-1.165614375911,2026-06-03 00:00:00,家居用品,常州市,,0.76,3.88,76.9,17.39,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,688779.SH,688779,五矿新能,8.58,-0.694444444444,2026-06-03 00:00:00,电池,长沙市,,0.04,1.15,165.53,50.93,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,688313.SH,688313,仕佳光子,168.86,9.294498381877,2026-06-03 00:00:00,通信设备,鹤壁市,,0.257,7.24,763.22,164.24,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,301087.SZ,301087,可孚医疗,45.66,-0.911458333333,2026-06-03 00:00:00,医疗器械,长沙市,,0.52,2.18,88.58,25.16,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,688232.SH,688232,新点软件,19.61,-3.208292201382,2026-06-03 00:00:00,软件开发,苏州市,,-0.07,-0.45,63.14,-65.68,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,301345.SZ,301345,涛涛车业,202.57,-2.361787246349,2026-06-03 00:00:00,摩托车及其他,丽水市,,1.62,4.77,70.96,31.32,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,301101.SZ,301101,明月镜片,31.37,-1.846057571965,2026-06-03 00:00:00,文娱用品,镇江市,,0.2797,3.14,59.88,28.15,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,688612.SH,688612,威迈斯,36.89,1.765517241379,2026-06-03 00:00:00,汽车零部件,深圳市,,0.31,3.55,93.17,29.49,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,601778.SH,601778,晶科科技,5.79,-0.856164383562,2026-06-03 00:00:00,电力,上饶市,,-0.04,-0.8,215.88,-41.89,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,605333.SH,605333,沪光股份,20.25,-1.603498542274,2026-06-03 00:00:00,汽车零部件,苏州市,,0.07,0.87,93.97,77.63,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,601609.SH,601609,金田股份,13.58,7.777777777778,2026-06-03 00:00:00,工业金属,宁波市,,0.1,1.64,234.75,34.47,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,688007.SH,688007,光峰科技,13.97,0.431344356578,2026-06-03 00:00:00,消费电子,深圳市,,-0.08,-1.54,64.21,-43.06,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,605123.SH,605123,派克新材,98.34,0.583000920528,2026-06-03 00:00:00,航空装备Ⅱ,无锡市,,0.7071,1.86,119.16,34.77,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,300855.SZ,300855,图南股份,34.16,-2.650327728698,2026-06-03 00:00:00,金属新材料,镇江市,,0.24,4.65,100.07,35.35,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,688128.SH,688128,中国电研,26.47,4.998016660056,2026-06-03 00:00:00,专用设备,广州市,,0.33,3.75,107.07,19.98,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,301091.SZ,301091,深城交,18.23,-1.24593716143,2026-06-03 00:00:00,工程咨询服务Ⅱ,深圳市,,-0.1,-2.13,96.12,-45.46,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,301095.SZ,301095,广立微,103.68,17.818181818182,2026-06-03 00:00:00,软件开发,杭州市,,-0.0544,-0.34,179.39,-484.41,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,603057.SH,603057,紫燕食品,25.35,-3.133358807795,2026-06-03 00:00:00,休闲食品,上海市,,0.2022,3.98,104.44,31.35,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,688503.SH,688503,聚和材料,87.39,-0.353477765108,2026-06-03 00:00:00,光伏设备,常州市,,1.25,5.62,175.58,18.26,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,301316.SZ,301316,慧博云通,41.3,-4.087320018579,2026-06-03 00:00:00,IT服务Ⅱ,杭州市,,0.0192,0.7,161.59,544.28,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
7,688439.SH,688439,振华风光,48.68,-2.327447833066,2026-06-03 00:00:00,军工电子Ⅱ,贵阳市,,-0.0671,-0.27,97.36,-181.25,eastmoney_datacenter:RPT_INDEX_TS_COMPONENT
