date,Benchmark,strategy_return_raw,Strategy,gross_strategy_return,fee,turnover,selected_count,selected_codes,avg_selected_prob,strategy_config,strategy_cumulative,benchmark_cumulative,excess_cumulative
2025-02-19,0.0064917396106631,0.02173997915355962,-0.02525748127284285,0.022251893010441233,0.0005119138568816129,0.5119138568816128,1,159351,0.7127776129319924,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.07048911638853428,0.01491217773377529,-0.08540129412230957
2025-02-20,-0.0024536964243352666,-0.009968440805045926,0.02173997915355962,-0.00941445993675406,0.000553980868291867,0.553980868291867,1,159919,0.5152740884526873,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.050281569155814276,0.012421891352255576,-0.06270346050806985
2025-02-21,0.014413911636886823,0.05025888406443853,-0.009968440805045926,0.05044176677846067,0.00018288271402214118,0.18288271402214118,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.05974878111514559,0.02701485103345691,-0.0867636321486025
2025-02-24,-0.0033201398295013146,-0.011488296234154706,0.05025888406443853,-0.011314557655833671,0.00017373857832103415,0.17373857832103415,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.012492804113764744,0.023605018121051424,-0.03609782223481617
2025-02-25,-0.009938665357501722,-0.030914815170855862,-0.011488296234154706,-0.03074976352145088,0.00016505164940498241,0.1650516494049824,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.023837579313465307,0.013431750387686847,-0.037269329701152154
2025-02-26,0.008230835531556402,0.02583561151032544,-0.030914815170855862,0.026160350322206302,0.0003247388118808627,0.3247388118808627,1,510050,0.5779485169248221,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.05401546012572478,0.02177314044758516,-0.07578860057330994
2025-02-27,0.0016982169020381827,0.005352298997453096,0.02583561151032544,0.005512978638711891,0.0001606796412587943,0.1606796412587943,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.02957537105875896,0.023508332864741854,-0.05308370392350081
2025-02-28,-0.018879723607617582,-0.0523690183681036,0.005352298997453096,-0.05221637270890774,0.00015264565919585464,0.15264565919585463,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.02438136829017301,0.004184778430162073,-0.028566146720335084
2025-03-03,-0.00263330644102773,-0.00870190792715538,-0.0523690183681036,-0.008556894550919318,0.00014501337623606193,0.14501337623606192,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.07547355833444902,0.0015404521851398734,-0.0770140105195889
2025-03-04,-0.0004912336751062146,-0.0018870596010103664,-0.00870190792715538,-0.0017492968935861077,0.00013776270742425886,0.13776270742425886,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.0835187023060433,0.0010484617880455183,-0.08456716409408882
2025-03-05,0.004544622052844782,0.012147512240807172,-0.0018870596010103664,0.012278386812860217,0.00013087457205304592,0.13087457205304592,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.08524815713800304,0.005597848703454034,-0.09084600584145708
2025-03-06,0.014868446397637708,0.03559797427868295,0.012147512240807172,0.03572230512213334,0.0001243308434503935,0.1243308434503935,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.07413619792953596,0.020549526414481045,-0.09468572434401701
2025-03-07,-0.0021659650674315106,-0.0043237729408217105,0.03559797427868295,-0.004205658639543836,0.00011811430127787387,0.11811430127787387,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.041177322117867954,0.018339051790683625,-0.05951637390855158
2025-03-10,-0.0035210906504992145,-0.007614503827954499,-0.0043237729408217105,-0.007502295241740519,0.00011220858621398025,0.11220858621398025,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.04532305366754097,0.014753387676385232,-0.0600764413439262
2025-03-11,0.0023071279532619615,0.004866190796388712,-0.007614503827954499,0.004972788953291994,0.00010659815690328115,0.10659815690328114,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.05259244492984938,0.017094553582760685,-0.06968699851261007
2025-03-12,-0.0017875376969338636,-0.003735451081256664,0.004866190796388712,-0.003634182832198547,0.00010126824905811706,0.10126824905811706,0,,,ema_ab0.6_as0.05_top1_p0.49_sent1.6_trend_fee0.001,-0.04798217900493784,0.015276458726885433,-0.06325863773182328
