code,name,family_id,start_date,end_date,history_rows,history_years,trailing_horizon_return,price_max_drawdown,horizon_days,observations,win_rate,avg_forward_return,median_forward_return,volatility,sharpe_like,best_forward_return,worst_forward_return,positive_avg_return,negative_avg_return
560010,中证1000ETF广发,CSI_1000,2022-08-04,2026-06-03,925,3.8302532511978096,0.1457303000329706,-0.4148248894933695,120,805,0.5267080745341615,0.04561553717601098,0.01330376940133049,0.15604402347263505,0.4236188736913135,0.48051224944320703,-0.33113097551496307,0.16878750596699116,-0.0914577299299617
159629,中证1000ETF富国,CSI_1000,2022-08-03,2026-06-03,927,3.8329911019849416,0.4086674767112193,-0.4124062713019768,250,677,0.5627769571639586,0.08380483583361965,0.05553253211769604,0.26264952230344474,0.320348526312871,0.7242707760044029,-0.37309090909090914,0.2764833704299379,-0.16420368335961433
159633,中证1000ETF易方达,CSI_1000,2022-08-04,2026-06-03,926,3.8302532511978096,0.42731277533039647,-0.4174923129484114,250,676,0.5695266272189349,0.09308707567893333,0.06763499058019606,0.2685341843643716,0.3480327187029782,0.7422003284072249,-0.38,0.2877910059446551,-0.16451090766231372
159845,中证1000ETF华夏,CSI_1000,2022-05-18,2026-06-03,981,4.043805612594114,0.40630048465266566,-0.4103085791793828,250,731,0.5444596443228454,0.07573461160089168,0.03076923076923066,0.25653628832825165,0.29639840459750727,0.725673446948873,-0.37106690777576856,0.2679289191480693,-0.1539751013233627
512100,中证1000ETF南方,CSI_1000,2016-11-04,2026-06-03,1662,9.57700205338809,0.4168060200668895,-0.5241404535479152,250,1412,0.6728045325779037,0.13012021690214945,0.12063892291027767,0.2499301742500839,0.5227046367776562,0.7537399309551209,-0.38166231830041,0.2677046551940288,-0.1527915068582086
560010,中证1000ETF广发,CSI_1000,2022-08-04,2026-06-03,925,3.8302532511978096,0.405175899716943,-0.4148248894933695,250,675,0.5659259259259259,0.08512865331648037,0.06233988044406491,0.26434245190419153,0.32332487269986115,0.7285242290748897,-0.3753176043557168,0.2785897440379504,-0.1670970690575863
159531,中证2000ETF南方,CSI_2000,2023-09-18,2026-06-03,652,2.707734428473648,-0.021614748887476165,-0.3654205607476635,5,647,0.5533230293663061,0.004604698054835425,0.006661732050333269,0.046058083766094646,0.7097584313191205,0.3630406290956749,-0.21892816419612304,0.032843247952006216,-0.030375927769341542
159532,中证2000ETF易方达,CSI_2000,2023-09-21,2026-06-03,649,2.6995208761122518,-0.02426916712631,-0.34533702677747,5,644,0.5636645962732919,0.0055257419804729795,0.00702342266589151,0.044293613060605246,0.8856553753491699,0.3394607843137256,-0.20515695067264583,0.03251977047373915,-0.029345547496593273
159533,中证2000ETF博时,CSI_2000,2024-06-07,2026-06-03,479,1.9876796714579055,-0.01631701631701643,-0.20126227208976155,5,474,0.6054852320675106,0.008923584390241471,0.01006684103012112,0.040519253495740384,1.563483015582429,0.31046119235095615,-0.12920489296636084,0.03192373149987164,-0.026376106628281847
159535,中证2000ETF嘉实,CSI_2000,2023-09-22,2026-06-03,648,2.6967830253251197,-0.021614748887476165,-0.3299161230195713,5,643,0.5536547433903577,0.004291170010481063,0.005809731299927456,0.04238822273498802,0.7186969164591721,0.34734239802224964,-0.1988888888888889,0.030076673809313618,-0.02769363609538789
159536,中证2000ETF汇添富,CSI_2000,2023-09-21,2026-06-03,649,2.6995208761122518,-0.016223231667748195,-0.3601851851851853,5,644,0.562111801242236,0.004271533114522756,0.005710574372798871,0.0437464761488856,0.6931958756814024,0.3042912873862158,-0.2160633484162896,0.0311667289805064,-0.030253505550321497
159531,中证2000ETF南方,CSI_2000,2023-09-18,2026-06-03,652,2.707734428473648,-0.02285714285714291,-0.3654205607476635,20,632,0.5775316455696202,0.01961829981056641,0.014835982451037899,0.09105166168039568,0.7648191680157019,0.37907608695652173,-0.2956431535269709,0.07590125666213704,-0.05732282097903387
