code,name,family_id,display_name,rows,start_date,end_date,csv_path
512910,A100ETF广发,CSI_A100,中证A100,640,2023-10-12,2026-06-03,data/raw/history/512910_A100ETF广发_20050101_20260603_qfq.csv
560380,A100ETF南方,CSI_A100,中证A100,344,2024-12-27,2026-06-03,data/raw/history/560380_A100ETF南方_20050101_20260603_qfq.csv
561180,A100ETF富国,CSI_A100,中证A100,854,2022-11-21,2026-06-03,data/raw/history/561180_A100ETF富国_20050101_20260603_qfq.csv
561200,中证A100ETF工银,CSI_A100,中证A100,567,2024-01-05,2026-06-03,data/raw/history/561200_中证A100ETF工银_20050101_20260603_qfq.csv
561770,A100ETF博时,CSI_A100,中证A100,229,2025-06-24,2026-06-03,data/raw/history/561770_A100ETF博时_20050101_20260603_qfq.csv
561880,A100ETF华富,CSI_A100,中证A100,325,2025-01-24,2026-06-03,data/raw/history/561880_A100ETF华富_20050101_20260603_qfq.csv
562000,A100ETF华宝,CSI_A100,中证A100,640,2023-10-12,2026-06-03,data/raw/history/562000_A100ETF华宝_20050101_20260603_qfq.csv
159136,A50ETF广发,CSI_A50,中证A50,103,2025-12-25,2026-06-03,data/raw/history/159136_A50ETF广发_20050101_20260603_qfq.csv
159390,中证A50ETF国联,CSI_A50,中证A50,279,2025-04-09,2026-06-03,data/raw/history/159390_中证A50ETF国联_20050101_20260603_qfq.csv
159591,A50ETF富国,CSI_A50,中证A50,535,2024-03-18,2026-06-03,data/raw/history/159591_A50ETF富国_20050101_20260603_qfq.csv
159592,A50ETF银华,CSI_A50,中证A50,535,2024-03-18,2026-06-03,data/raw/history/159592_A50ETF银华_20050101_20260603_qfq.csv
159593,中证A50ETF平安,CSI_A50,中证A50,539,2024-03-12,2026-06-03,data/raw/history/159593_中证A50ETF平安_20050101_20260603_qfq.csv
159595,中证A50ETF大成,CSI_A50,中证A50,535,2024-03-18,2026-06-03,data/raw/history/159595_中证A50ETF大成_20050101_20260603_qfq.csv
159596,A50ETF华宝,CSI_A50,中证A50,535,2024-03-18,2026-06-03,data/raw/history/159596_A50ETF华宝_20050101_20260603_qfq.csv
159601,A50ETF华夏,CSI_A50,中证A50,1107,2021-11-08,2026-06-03,data/raw/history/159601_A50ETF华夏_20050101_20260603_qfq.csv
512030,中证A50增强ETF易方达,CSI_A50,中证A50,193,2025-08-13,2026-06-03,data/raw/history/512030_中证A50增强ETF易方达_20050101_20260603_qfq.csv
512240,A50ETF鹏华,CSI_A50,中证A50,281,2025-04-07,2026-06-03,data/raw/history/512240_A50ETF鹏华_20050101_20260603_qfq.csv
512250,A50ETF招商,CSI_A50,中证A50,276,2025-04-14,2026-06-03,data/raw/history/512250_A50ETF招商_20050101_20260603_qfq.csv
560350,中证A50ETF摩根,CSI_A50,中证A50,539,2024-03-12,2026-06-03,data/raw/history/560350_中证A50ETF摩根_20050101_20260603_qfq.csv
560820,中证A50ETF新华,CSI_A50,中证A50,270,2025-04-18,2026-06-03,data/raw/history/560820_中证A50ETF新华_20050101_20260603_qfq.csv
561230,中证A50ETF工银,CSI_A50,中证A50,535,2024-03-18,2026-06-03,data/raw/history/561230_中证A50ETF工银_20050101_20260603_qfq.csv
561750,A50ETF博时,CSI_A50,中证A50,245,2025-05-30,2026-06-03,data/raw/history/561750_A50ETF博时_20050101_20260603_qfq.csv
562890,A50ETF嘉实,CSI_A50,中证A50,535,2024-03-18,2026-06-03,data/raw/history/562890_A50ETF嘉实_20050101_20260603_qfq.csv
563080,中证A50ETF易方达,CSI_A50,中证A50,535,2024-03-18,2026-06-03,data/raw/history/563080_中证A50ETF易方达_20050101_20260603_qfq.csv
563350,A50ETF华泰柏瑞,CSI_A50,中证A50,535,2024-03-18,2026-06-03,data/raw/history/563350_A50ETF华泰柏瑞_20050101_20260603_qfq.csv
159353,中证A500ETF景顺,CSI_A500,中证A500,397,2024-10-15,2026-06-03,data/raw/history/159353_中证A500ETF景顺_20050101_20260603_qfq.csv
159358,中证A500ETF大成,CSI_A500,中证A500,364,2024-11-29,2026-06-03,data/raw/history/159358_中证A500ETF大成_20050101_20260603_qfq.csv
560510,中证A500ETF泰康,CSI_A500,中证A500,397,2024-10-15,2026-06-03,data/raw/history/560510_中证A500ETF泰康_20050101_20260603_qfq.csv
560530,中证A500ETF摩根,CSI_A500,中证A500,397,2024-10-15,2026-06-03,data/raw/history/560530_中证A500ETF摩根_20050101_20260603_qfq.csv
563860,中证A500ETF海富通,CSI_A500,中证A500,318,2025-02-12,2026-06-03,data/raw/history/563860_中证A500ETF海富通_20050101_20260603_qfq.csv
159338,中证A500ETF国泰,CSI_A500,中证A500,397,2024-10-15,2026-06-03,data/raw/history/159338_中证A500ETF国泰_20050101_20260603_qfq.csv
563360,A500ETF华泰柏瑞,CSI_A500,中证A500,397,2024-10-15,2026-06-03,data/raw/history/563360_A500ETF华泰柏瑞_20050101_20260603_qfq.csv
159352,A500ETF南方,CSI_A500,中证A500,397,2024-10-15,2026-06-03,data/raw/history/159352_A500ETF南方_20050101_20260603_qfq.csv
512050,A500ETF华夏,CSI_A500,中证A500,374,2024-11-15,2026-06-03,data/raw/history/512050_A500ETF华夏_20050101_20260603_qfq.csv
159361,A500ETF易方达,CSI_A500,中证A500,372,2024-11-19,2026-06-03,data/raw/history/159361_A500ETF易方达_20050101_20260603_qfq.csv
563220,A500ETF富国,CSI_A500,中证A500,397,2024-10-15,2026-06-03,data/raw/history/563220_A500ETF富国_20050101_20260603_qfq.csv
563800,A500ETF广发,CSI_A500,中证A500,373,2024-11-18,2026-06-03,data/raw/history/563800_A500ETF广发_20050101_20260603_qfq.csv
159215,A500ETF平安,CSI_A500,中证A500,281,2025-04-07,2026-06-03,data/raw/history/159215_A500ETF平安_20050101_20260603_qfq.csv
159226,中证A500增强ETF国泰,CSI_A500,中证A500,246,2025-05-29,2026-06-03,data/raw/history/159226_中证A500增强ETF国泰_20050101_20260603_qfq.csv
159240,A500增强ETF天弘,CSI_A500,中证A500,233,2025-06-17,2026-06-03,data/raw/history/159240_A500增强ETF天弘_20050101_20260603_qfq.csv
159249,A500增强ETF工银,CSI_A500,中证A500,223,2025-07-02,2026-06-03,data/raw/history/159249_A500增强ETF工银_20050101_20260603_qfq.csv
159339,A500ETF银华,CSI_A500,中证A500,397,2024-10-15,2026-06-03,data/raw/history/159339_A500ETF银华_20050101_20260603_qfq.csv
159351,A500ETF嘉实,CSI_A500,中证A500,397,2024-10-15,2026-06-03,data/raw/history/159351_A500ETF嘉实_20050101_20260603_qfq.csv
159356,A500ETF万家,CSI_A500,中证A500,359,2024-12-06,2026-06-03,data/raw/history/159356_A500ETF万家_20050101_20260603_qfq.csv
159357,A500ETF博时,CSI_A500,中证A500,365,2024-11-28,2026-06-03,data/raw/history/159357_A500ETF博时_20050101_20260603_qfq.csv
159359,A500ETF华安,CSI_A500,中证A500,363,2024-12-02,2026-06-03,data/raw/history/159359_A500ETF华安_20050101_20260603_qfq.csv
159360,A500ETF天弘,CSI_A500,中证A500,365,2024-11-28,2026-06-03,data/raw/history/159360_A500ETF天弘_20050101_20260603_qfq.csv
159362,A500ETF工银,CSI_A500,中证A500,363,2024-12-02,2026-06-03,data/raw/history/159362_A500ETF工银_20050101_20260603_qfq.csv
159376,A500ETF浦银,CSI_A500,中证A500,334,2025-01-13,2026-06-03,data/raw/history/159376_A500ETF浦银_20050101_20260603_qfq.csv
159379,A500ETF融通,CSI_A500,中证A500,326,2025-01-23,2026-06-03,data/raw/history/159379_A500ETF融通_20050101_20260603_qfq.csv
159380,A500ETF东财,CSI_A500,中证A500,337,2025-01-08,2026-06-03,data/raw/history/159380_A500ETF东财_20050101_20260603_qfq.csv
159386,A500ETF永赢,CSI_A500,中证A500,319,2025-02-11,2026-06-03,data/raw/history/159386_A500ETF永赢_20050101_20260603_qfq.csv
512020,A500ETF鹏华,CSI_A500,中证A500,363,2024-12-02,2026-06-03,data/raw/history/512020_A500ETF鹏华_20050101_20260603_qfq.csv
512080,A500ETF中金,CSI_A500,中证A500,328,2025-01-21,2026-06-03,data/raw/history/512080_A500ETF中金_20050101_20260603_qfq.csv
512370,A500增强ETF华夏,CSI_A500,中证A500,190,2025-08-18,2026-06-03,data/raw/history/512370_A500增强ETF华夏_20050101_20260603_qfq.csv
560610,A500ETF招商,CSI_A500,中证A500,397,2024-10-15,2026-06-03,data/raw/history/560610_A500ETF招商_20050101_20260603_qfq.csv
560750,A500ETF申万菱信,CSI_A500,中证A500,321,2025-02-07,2026-06-03,data/raw/history/560750_A500ETF申万菱信_20050101_20260603_qfq.csv
561090,A500增强ETF华安,CSI_A500,中证A500,223,2025-07-02,2026-06-03,data/raw/history/561090_A500增强ETF华安_20050101_20260603_qfq.csv
563500,A500ETF华宝,CSI_A500,中证A500,363,2024-12-02,2026-06-03,data/raw/history/563500_A500ETF华宝_20050101_20260603_qfq.csv
563550,A500增强ETF摩根,CSI_A500,中证A500,255,2025-05-16,2026-06-03,data/raw/history/563550_A500增强ETF摩根_20050101_20260603_qfq.csv
563600,A500增强ETF易方达,CSI_A500,中证A500,161,2025-09-26,2026-06-03,data/raw/history/563600_A500增强ETF易方达_20050101_20260603_qfq.csv
563630,A500增强ETF国联安,CSI_A500,中证A500,224,2025-07-01,2026-06-03,data/raw/history/563630_A500增强ETF国联安_20050101_20260603_qfq.csv
563650,中证A500ETF兴业,CSI_A500,中证A500,282,2025-04-03,2026-06-03,data/raw/history/563650_中证A500ETF兴业_20050101_20260603_qfq.csv
563660,A500ETF银河,CSI_A500,中证A500,283,2025-04-02,2026-06-03,data/raw/history/563660_A500ETF银河_20050101_20260603_qfq.csv
563880,A500ETF汇添富,CSI_A500,中证A500,368,2024-11-25,2026-06-03,data/raw/history/563880_A500ETF汇添富_20050101_20260603_qfq.csv
