Date,Actual_Return,ML_Prob,Target_Position,Executed_Position,B&H_Cum,Dynamic_Weight_Strategy_Cum
2026-01-22,-0.0006342034989764,0.48563048089161015,0.0,0.0,0.02294159487346703,0.06301163473228821
2026-01-23,-0.0048657159245043,0.4874586505875444,0.0,0.0,0.017964251665453235,0.06301163473228821
2026-01-26,0.0017006583779042,0.5900246667904697,0.9002466679046974,0.0,0.01969546109845499,0.06301163473228821
2026-01-27,-0.0004244174632505,0.5562332836132002,0.5623328361320025,0.9002466679046974,0.01926268453756763,0.06260547881414635
2026-01-28,0.0031846850029957,0.6526799336773981,1.0,0.5623328361320025,0.022508715123127576,0.06450844897048347
2026-01-29,0.0091005761101248,0.6539123518494624,1.0,1.0,0.03181413350837148,0.07419608913021025
2026-01-30,-0.0119547312735661,0.4356134072809229,0.0,1.0,0.019479072818011423,0.061354363549543045
2026-02-02,-0.0235618895869432,0.5364692822529452,0.3646928225294522,0.0,-0.0045417805319257765,0.061354363549543045
2026-02-03,0.0139130719622959,0.6180273047042817,1.0,0.3646928225294522,0.009308101310992578,0.06673967291980998
2026-02-04,0.0092194991635412,0.507569169895248,0.0756916989524803,1.0,0.018613416506784608,0.07657447844201037
2026-02-05,-0.0059485615563673,0.6427520693158122,1.0,0.0756916989524803,0.012554131896552523,0.07608974353718057
2026-02-06,-0.0064115694821766,0.6387774089772876,1.0,1.0,0.006062070725432855,0.06919031937743436
2026-02-09,0.0167778158417832,0.64363045179307,1.0,1.0,0.022941594873467253,0.08712899765576632
2026-02-10,0.0012692119366042,0.5550467066097856,0.5504670660978562,1.0,0.024239924556129555,0.08850879475621953
2026-02-11,-0.0021127725467517,0.523494239577898,0.23494239577897985,0.5504670660978562,0.022075938562240438,0.08724284628676737
2026-02-12,0.0008469588986164,0.509477050509127,0.09477050509126952,0.23494239577897985,0.022941594873467475,0.08745919299277083
2026-02-13,-0.0118468859518959,0.5519878266552981,0.5198782665529812,0.09477050509126952,0.010822922463550988,0.086238264098347
2026-02-24,0.0096339276936834,0.7155433695248525,1.0,0.5198782665529812,0.020561117409682694,0.0916786554544724
2026-02-25,0.007209482466882,0.5742023853128743,0.7420238531287427,1.0,0.0279188348920294,0.09954909358044084
2026-02-26,-0.0031578666285464,0.4548021012227086,0.0,0.7420238531287427,0.024672804306469454,0.09697261655021916
2026-02-27,-0.0021119806969073,0.5755146921021407,0.755146921021407,0.0,0.022508715123128242,0.09697261655021916
2026-03-02,0.0029629501052725,0.5553246848512304,0.5532468485123044,0.755146921021407,0.025538357428244396,0.09942705180687583
2026-03-03,-0.0128718869621206,0.5056305129290128,0.056305129290128444,0.5532468485123044,0.012337743616109176,0.09159766797472568
2026-03-04,-0.0145360923836832,0.7328002670620407,1.0,0.056305129290128444,-0.00237769134858401,0.09070424270135957
2026-03-05,0.0095443971066642,0.7489507047298909,1.0,1.0,0.007144012127652255,0.10111435711962491
2026-03-06,0.0027932986651324,0.5027097258109656,0.02709725810965625,1.0,0.009957266152324618,0.10419009838352533
2026-03-09,-0.0081421965856537,0.5173406519442348,0.17340651944234844,0.02709725810965625,0.0017339955482029712,0.10394647959437342
2026-03-10,0.0116655646224543,0.7220475719032987,1.0,0.17340651944234844,0.013419788207780003,0.10617963632294436
2026-03-11,0.0059790470649365,0.5466531636856513,0.4665316368565132,1.0,0.01947907281801231,0.1127935364307937
2026-03-12,-0.0036086178068668,0.44501791390997913,0.0,0.4665316368565132,0.015800162482113134,0.11092011026302018
2026-03-13,-0.0036215855069939,0.5896979347570281,0.8969793475702816,0.0,0.012121355335665829,0.11092011026302018
2026-03-16,0.0006413903213373,0.55968319743474,0.5968319743474005,0.8969793475702816,0.01277052017699698,0.11155923801310608
2026-03-17,-0.0072649404142023,0.5600102695041594,0.6001026950415945,0.5968319743474005,0.005412802694650498,0.10673957414569557
2026-03-18,0.0034438810070605,0.6148775451586479,1.0,0.6001026950415945,0.008875324750106106,0.10902685320522854
2026-03-19,-0.0135135563612398,0.6014591832684469,1.0,1.0,-0.004758168812368568,0.09403995631831119
2026-03-20,-0.0050010357910924,0.508660071229346,0.0866007122934598,1.0,-0.009735408830930159,0.08856862333987814
2026-03-23,-0.0319056771129011,0.5456669556502639,0.4566695565026392,0.0866007122934598,-0.041330471133109614,0.08556084905444683
2026-03-24,0.0110610079261532,0.5969109751537652,0.9691097515376526,0.4566695565026392,-0.030726619875751315,0.09104426178829739
2026-03-25,0.0145121803732595,0.6787086424971879,1.0,0.9691097515376526,-0.01666034975238928,0.1063885942892
2026-03-26,-0.0123239944681015,0.6691774818012155,1.0,1.0,-0.028779022162305656,0.09275346737360923
2026-03-27,0.0044563238191852,0.7681775233915162,1.0,1.0,-0.024450946985075106,0.0976231306787636
2026-03-30,-0.0017746000856149,0.6473480364417026,1.0,1.0,-0.026182156418076974,0.09567528857708818
2026-03-31,-0.0082222620646158,0.5842058494844473,0.8420584948444734,1.0,-0.03418914193120659,0.08666635921668386
2026-04-01,0.0159086045338101,0.7461931874867531,1.0,0.8420584948444734,-0.01882443893573027,0.10122331523793804
2026-04-02,-0.0099250280302218,0.6091215833263101,1.0,1.0,-0.028562633881861754,0.09029364296666786
