stock_code,stock_name,family_ids,display_names,industry,region,component_rank_best,index_weight_pct_max,component_free_cap_max,component_pe,component_eps,component_roe_pct,component_trade_date,source_etf_codes,source_etf_names,source_etf_dates,source_etf_pred_fwd_ret_5_best,source_etf_pred_rank_best,source_etf_signal_reasons
603738,泰晶科技,CSI_2000,中证2000,元件,随州市,13.0,,171.68,186.25,0.06,1.28,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
000534,万泽股份,CSI_2000,中证2000,生物制品,汕头市,14.0,,162.8,53.44,0.1534,4.7,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
002565,顺灏股份,CSI_2000,中证2000,包装印刷,上海市,15.0,,162.6,203.42,0.0189,1.1,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
603800,洪田股份,CSI_2000,中证2000,专用设备,苏州市,16.0,,159.22,-248.46,-0.08,-2.0,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
000592,平潭发展,CSI_2000,中证2000,林业Ⅱ,福州市,17.0,,154.36,-2152.83,-0.001,-0.1,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
300328,宜安科技,CSI_2000,中证2000,工业金属,东莞市,18.0,,151.97,-199.08,-0.0278,-1.85,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
605389,长龄液压,CSI_2000,中证2000,工程机械,无锡市,19.0,,150.5,105.55,0.26,1.78,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
300322,硕贝德,CSI_2000,中证2000,消费电子,惠州市,20.0,,148.65,372.21,0.02,1.03,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
601133,柏诚股份,CSI_2000,中证2000,专业工程,无锡市,21.0,,144.73,117.22,0.06,1.03,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
300720,海川智能,CSI_2000,中证2000,通用设备,佛山市,22.0,,144.61,540.61,0.04,1.21,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
603936,博敏电子,CSI_2000,中证2000,元件,梅州市,23.0,,135.16,-318.68,-0.02,-0.25,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
600397,江钨装备,CSI_2000,中证2000,专用设备,萍乡市,24.0,,134.83,2528.6,0.0013,0.69,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
000973,佛塑科技,CSI_2000,中证2000,塑料,佛山市,25.0,,134.57,15.36,0.38,10.94,2026-06-05 00:00:00,159531,中证2000ETF南方,2026-06-05,0.0106279536059929,4.0,pred>= 0.0000
603986,兆易创新,CSI_300;CSI_800;CSI_A100,沪深300;中证800;中证A100,半导体,北京市,11.0,1.32,3259.08,58.54,2.19,6.12,2026-06-05 00:00:00,510310;159800;159627,沪深300ETF易方达;中证800ETF鹏华;中证A100ETF华夏,2026-06-05,0.010441676245171,5.0,pred>= 0.0000
