period,family_id,horizon_days,period_start_date,period_end_date,observations,win_rate,avg_forward_return,median_forward_return,volatility,sharpe_like,best_forward_return,worst_forward_return,positive_avg_return,negative_avg_return
2019,CSI_800,60,2019-10-25,2019-12-31,60,0.5166666666666667,0.011403508388635665,0.013016525790248368,0.07475362316018756,0.3126301684860401,0.1316916488222697,-0.12013729977116705,0.07724896483182059,-0.05898301401614822
2019,CSI_800,120,2019-10-25,2019-12-31,60,1.0,0.07741247314170382,0.07520275251904662,0.03297764212317429,3.401738999291197,0.16582914572864316,0.01828571428571424,0.07741247314170382,
2019,CSI_800,250,2019-10-25,2019-12-31,60,1.0,0.4110380545808135,0.4539627006225734,0.11842674680230311,3.4846767535667222,0.533673469387755,0.08529741863075202,0.4110380545808135,
2020,ALL,5,2020-01-02,2020-12-31,3159,0.5609370053814499,0.003325824991776121,0.00528169014084523,0.042184111944776545,0.5597134586139517,0.18036843552378334,-0.24499582985821522,0.028871434326273416,-0.02931067085590175
2020,ALL,20,2020-01-02,2020-12-31,3159,0.6435580880025324,0.015346235699728402,0.018201997780244117,0.07522347129420831,0.7241587223335302,0.2679083094555874,-0.21660572166057224,0.05505031477204179,-0.05633972589353369
2020,ALL,60,2020-01-02,2020-12-31,3159,0.619499841722064,0.05638137093446044,0.02854281422133198,0.12594562365938036,0.917438995173362,0.38932496075353207,-0.2030859049207674,0.12972887296185617,-0.06303714942129117
2020,ALL,120,2020-01-02,2020-12-31,3159,0.6736308958531181,0.10085641418659351,0.10958149779735682,0.16709032982965685,0.8747054941705201,0.4340159271899886,-0.30266291405066026,0.19652046734561765,-0.09659567613581524
2020,ALL,250,2020-01-02,2020-12-31,3159,0.6745805634694524,0.07863155558278695,0.06904637832204275,0.1652922572158027,0.4776113327153756,0.6592178770949721,-0.2566722268557131,0.16770000789162234,-0.10600353378504206
2020,CSI_1000,5,2020-01-02,2020-12-31,243,0.5349794238683128,0.005195074171726307,0.0023932987634622815,0.04159239089237909,0.8867335381198609,0.13157894736842102,-0.1275434243176179,0.0341130029271443,-0.02807333944070148
2020,CSI_1000,20,2020-01-02,2020-12-31,243,0.5843621399176955,0.02239374804377439,0.017322834645669305,0.07033073401455023,1.1302302066876628,0.2679083094555874,-0.1555959963603275,0.06535801478523258,-0.03801145866203812
2020,CSI_1000,60,2020-01-02,2020-12-31,243,0.6378600823045267,0.07793844055429111,0.04691848906560625,0.11950965017827128,1.336513598599243,0.38932496075353207,-0.1113626075147125,0.14221311550363408,-0.03527263464057431
2020,CSI_1000,120,2020-01-02,2020-12-31,243,0.8559670781893004,0.14339997795005602,0.12760055478502097,0.12674006763059928,1.6396260036141928,0.4340159271899886,-0.09981167608286245,0.1730395921101654,-0.03274401477287976
2020,CSI_1000,250,2020-01-02,2020-12-31,243,0.8806584362139918,0.1692256946565396,0.10818593171534352,0.1576982556441846,1.0773819172816625,0.54579945799458,-0.10753091045335328,0.19765922048192872,-0.04059411660667656
2020,CSI_300,5,2020-01-02,2020-12-31,1215,0.5695473251028806,0.0014465886528236141,0.006537591149107458,0.047977669318830574,0.2140529293299075,0.18036843552378334,-0.24499582985821522,0.028219286787602986,-0.03397732551403552
2020,CSI_300,20,2020-01-02,2020-12-31,1215,0.6534979423868312,0.0080719932709138,0.01854453498173636,0.0855188079517405,0.335045990535681,0.25113895216400905,-0.21660572166057224,0.053900978459364465,-0.07836081964982214
2020,CSI_300,60,2020-01-02,2020-12-31,1215,0.5950617283950618,0.03994054143173193,0.027156147850138312,0.1396910091951869,0.5859629248506111,0.3511685116851171,-0.2030859049207674,0.13388260148274816,-0.0981084614481151
2020,CSI_300,120,2020-01-02,2020-12-31,1215,0.5061728395061729,0.0639056949837458,0.09908256880733934,0.20363069430498892,0.4547848276986601,0.4023064250411861,-0.30266291405066026,0.2534041917326658,-0.1303302641838972
2020,CSI_300,250,2020-01-02,2020-12-31,1215,0.4016460905349794,-0.024886023413884618,-0.07439365671641796,0.1347908984164897,-0.18536391926511114,0.28474576271186436,-0.2566722268557131,0.12316893381358925,-0.12426816801774603
2020,CSI_500,5,2020-01-02,2020-12-31,1215,0.5432098765432098,0.003965869751023667,0.0035573122529646284,0.03656937735974521,0.7699032431084595,0.13096646942800771,-0.12085137085137088,0.02894553201047128,-0.025739674557508627
2020,CSI_500,20,2020-01-02,2020-12-31,1215,0.6106995884773663,0.017698607845326335,0.01436464088397793,0.0641470916648423,0.979371379233994,0.2647357723577235,-0.15478515625,0.053955485060787955,-0.03917793104235341
2020,CSI_500,60,2020-01-02,2020-12-31,1215,0.6024691358024692,0.059133683960766396,0.020723785957315055,0.10859036404525073,1.1160105290802538,0.3889508928571428,-0.10114468005254262,0.12005715879941416,-0.03319754498724637
2020,CSI_500,120,2020-01-02,2020-12-31,1215,0.7720164609053498,0.10996476546104987,0.08985085485631128,0.11596459523327918,1.3741615205027027,0.37449275362318835,-0.12022630834512027,0.15235686502686713,-0.03358682079431697
2020,CSI_500,250,2020-01-02,2020-12-31,1215,0.8814814814814815,0.13548141570617436,0.13083604777415858,0.11866740601406028,1.1462478737877337,0.4739608217869087,-0.11297539149888136,0.1593948159539107,-0.04237449863636473
2020,CSI_800,5,2020-01-02,2020-12-31,486,0.5967078189300411,0.005489179351063429,0.0072464719396128086,0.039844216200748024,0.9780417660927527,0.14972677595628414,-0.1994970662196145,0.02790928848860491,-0.027683431107543864
2020,CSI_800,20,2020-01-02,2020-12-31,486,0.7304526748971193,0.02412715523574708,0.024114544084400835,0.07408545357306003,1.1560016313308807,0.2525481313703286,-0.176068376068376,0.055786211324557425,-0.0616664700430901
2020,CSI_800,60,2020-01-02,2020-12-31,486,0.7139917695473251,0.07982412731560154,0.051353383458646595,0.127371318554499,1.284361207564445,0.36516264428121725,-0.14118705035971235,0.13590031806942698,-0.06016463665258142
2020,CSI_800,120,2020-01-02,2020-12-31,486,0.7551440329218106,0.14919055212584054,0.18586968586968589,0.17116675675454213,1.2630820019146025,0.43237250554323725,-0.2405172413793103,0.22738147695304933,-0.09195288830765216
2020,CSI_800,250,2020-01-02,2020-12-31,486,0.7366255144032922,0.15000378322912103,0.10999689123773149,0.20115191982460304,0.7487007990743791,0.6592178770949721,-0.1902766135792121,0.23533898336939818,-0.08866810466321663
2021,ALL,5,2021-01-04,2021-12-31,486,0.5452674897119342,0.0011918427964458655,0.0027137092023094,0.02173177861903201,0.3893489178015766,0.07053034445051942,-0.07991940899932837,0.01660179706590101,-0.01728615666692795
2021,ALL,20,2021-01-04,2021-12-31,486,0.5679012345679012,0.0021675653381758447,0.006637378287472684,0.03562412918823908,0.21597983896762535,0.0948905109489051,-0.12252712188895976,0.02659629201080623,-0.029938761145852665
2021,ALL,60,2021-01-04,2021-12-31,486,0.5246913580246914,-0.000642150251653307,0.005592505534352088,0.06423713311695588,-0.02048684831889903,0.15698267074413863,-0.20349227669576908,0.04664840985002216,-0.0528460152989574
2021,ALL,120,2021-01-04,2021-12-31,486,0.4176954732510288,-0.02517544204339374,-0.021783566586359215,0.10919793833729248,-0.3340967979411778,0.24847814056447137,-0.2472289156626506,0.08118363588618553,-0.10146834953351597
2021,ALL,250,2021-01-04,2021-12-31,486,0.10905349794238683,-0.10738958131278299,-0.12023715715149924,0.07690282709918878,-1.4020067663013247,0.12209302325581417,-0.24809424809424818,0.057585352276527405,-0.12758281798768703
2021,CSI_500,5,2021-01-04,2021-12-31,243,0.5596707818930041,0.0027622231581978037,0.0036610878661087476,0.020700731817003683,0.947301731769729,0.07053034445051942,-0.06666666666666665,0.016886875215593653,-0.015190605625034305
2021,CSI_500,20,2021-01-04,2021-12-31,243,0.654320987654321,0.0086230672986038,0.014973262032085488,0.036513618861974566,0.8382859169300966,0.0948905109489051,-0.10091743119266061,0.030359147664587357,-0.03252022767986508
2021,CSI_500,60,2021-01-04,2021-12-31,243,0.654320987654321,0.018571028488244577,0.02098235574630425,0.06807010113772523,0.5591189418310144,0.15698267074413863,-0.18439068918302137,0.05778216198202425,-0.05565004562498124
2021,CSI_500,120,2021-01-04,2021-12-31,243,0.5761316872427984,0.00605576294723036,0.05081194342587736,0.12764651273360553,0.06874950241458969,0.24847814056447137,-0.2472289156626506,0.10490360727315556,-0.12830053031130875
